fold,train,test,model,scope,n_shared_item,n_new_item,stratum,level,n,MAE,RMSE,MAE_const1,RMSE_const1,MAE_mean,RMSE_mean,MAE_partial,n_partial,full_score_rate,skill_MAE,skill_RMSE
F3,V1+V2+V3+V4,V5,B2_gbdt,全部 item,21,2,总体,B2_gbdt,2226,0.09706851439957734,0.1761466359857875,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.1807045632987506,794,0.6433063791554358,0.07826947159986819,0.15271854314487465
F3,V1+V2+V3+V4,V5,B2_gbdt,共有 item 子集,21,2,总体,B2_gbdt,2022,0.09595289683231376,0.16927412382598708,0.10628815529179031,0.23070140126202768,0.1416397328692004,0.20475830774093481,0.1689955095466629,752,0.6280909990108803,0.09723810175370362,0.17329789597520595
F4,V1+V2+V3+V4+V5,V6,B0_mean,全部 item,16,19,总体,B0_mean,1478,0.14785311476356117,0.1800556671553155,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.1428141279683291,513,0.6529093369418133,-0.7785825095887307,-0.0784097392054941
F4,V1+V2+V3+V4+V5,V6,B0_mean,共有 item 子集,16,19,总体,B0_mean,561,0.14363125327656676,0.16908335927311308,0.06829001782531194,0.16275437452193092,0.09710188007791029,0.14773442351545402,0.12802462258496822,172,0.6934046345811051,-1.103254001836405,-0.14450887782038024
F4,V1+V2+V3+V4+V5,V6,B1_item,全部 item,16,19,总体,B1_item,1478,0.14271930244270933,0.19355147119073168,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.16569399198922286,513,0.6529093369418133,-0.7168258883908623,-0.1592403330998109
F4,V1+V2+V3+V4+V5,V6,B1_item,共有 item 子集,16,19,总体,B1_item,561,0.12455163834543977,0.1956098210706085,0.06829001782531194,0.16275437452193092,0.09710188007791029,0.14773442351545402,0.19295941797925312,172,0.6934046345811051,-0.8238630229098323,-0.3240639277963975
F4,V1+V2+V3+V4+V5,V6,B2_gbdt,全部 item,16,19,总体,B2_gbdt,1478,0.14488008537124475,0.21599457054080884,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.19340730655751168,513,0.6529093369418133,-0.7428187849886563,-0.29365907869920593
F4,V1+V2+V3+V4+V5,V6,B2_gbdt,共有 item 子集,16,19,总体,B2_gbdt,561,0.1587140948924884,0.24268792605749082,0.06829001782531194,0.16275437452193092,0.09710188007791029,0.14773442351545402,0.21209488409185734,172,0.6934046345811051,-1.3241185160982698,-0.6427310594412956
F5,V1+V2+V3+V4+V5+V6,V7,B0_mean,全部 item,31,11,总体,B0_mean,546,0.14386868233724637,0.1743468449285709,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.15224967482083746,137,0.7490842490842491,-1.3774681504607202,-0.12754727042575054
F5,V1+V2+V3+V4+V5+V6,V7,B0_mean,共有 item 子集,31,11,总体,B0_mean,403,0.13769256445719433,0.15465736247392786,0.05416827956989247,0.1389341402762414,0.08294544945169294,0.1279394107487458,0.1273479886804157,99,0.7543424317617866,-1.5419408840469409,-0.20883284961857607
F5,V1+V2+V3+V4+V5+V6,V7,B1_item,全部 item,31,11,总体,B1_item,546,0.09945721586093359,0.1653454862718797,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.18524521797634416,137,0.7490842490842491,-0.6435568825783975,-0.06933309747852268
F5,V1+V2+V3+V4+V5+V6,V7,B1_item,共有 item 子集,31,11,总体,B1_item,403,0.08440750003615488,0.13949435010680322,0.05416827956989247,0.1389341402762414,0.08294544945169294,0.1279394107487458,0.1570184226175929,99,0.7543424317617866,-0.5582459089778773,-0.0903157149969187
F5,V1+V2+V3+V4+V5+V6,V7,B2_gbdt,全部 item,31,11,总体,B2_gbdt,546,0.08512212876139598,0.15187694609725716,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.1739366609321802,137,0.7490842490842491,-0.4066657645146319,0.017771522721154676
F5,V1+V2+V3+V4+V5+V6,V7,B2_gbdt,共有 item 子集,31,11,总体,B2_gbdt,403,0.06817046695415746,0.11860976297525579,0.05416827956989247,0.1389341402762414,0.08294544945169294,0.1279394107487458,0.142209832717048,99,0.7543424317617866,-0.2584942238418,0.07292239130139544
