model,stratum,level,n,MAE,RMSE,MAE_const1,RMSE_const1,MAE_mean,RMSE_mean,MAE_partial,n_partial,full_score_rate,skill_MAE,skill_RMSE
B0_mean,工况,cpd,13,0.30288833793280084,0.4310263156087717,0.25,0.4853626716970755,0.34615384615384615,0.41602514716892186,0.6751417470738691,4,0.6923076923076923,-0.21155335173120338,-0.03605832133450049
B0_mean,工况,ecall,26,0.1374164935796506,0.13741875494459263,0.0,0.0,0.0,0.0,,0,1.0,,
B0_mean,工况,curtain_hold,13,0.24883650365444995,0.3609763486508795,0.15384615384615385,0.3922322702763681,0.26035502958579876,0.36080121229410994,0.8621150327430978,2,0.8461538461538461,-0.6174372737539247,-0.000485409557401395
B0_mean,可观测性,structure_driven,10825,0.17998457013908675,0.24624947064983926,0.13660763048498847,0.28158450829753395,0.17977432551755035,0.24622792409968622,0.24864189252402707,4162,0.6155196304849885,-0.3175294052030635,-8.750652563804806e-05
B0_mean,可观测性,config_gated,109,0.1517085554149848,0.22171441049538412,0.09018654434250763,0.23470798001293716,0.1305089358359285,0.21668923162287096,0.18803750590828314,31,0.7155963302752294,-0.6821639693703176,-0.023190718038352154
B0_mean,可观测性,component_driven,131,0.12125258608719756,0.1877515740549015,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.12074496178084297,127,0.030534351145038167,0.0328806805319537,-0.10104958937806852
B0_one,总体,B0_one,11065,0.13708673595420998,0.28108324049686084,0.13708673595420998,0.28108324049686084,0.1789987723095129,0.24538747912971604,0.3511260956790124,4320,0.6095797559873475,0.0,-0.1454669223292986
B0_one,版本,V4,2108,0.1465163662239089,0.29002565012030224,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.3616586651053864,854,0.594876660341556,0.0,-0.1587330258577524
B0_one,版本,V3,2475,0.19096929292929293,0.3530701129329197,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.4484335863377609,1054,0.5741414141414142,0.0,-0.1889214754337778
B0_one,版本,V2,1088,0.12091911764705883,0.24472198924914537,0.12091911764705883,0.24472198924914537,0.15783463992214533,0.21276141334724108,0.305953488372093,430,0.6047794117647058,0.0,-0.1502179149832139
B0_one,版本,V1,1144,0.18660008741258743,0.34460324017355365,0.18660008741258743,0.34460324017355365,0.22569924492028945,0.28970985574489283,0.3967853159851301,538,0.5297202797202797,0.0,-0.1894771038683536
B0_one,版本,V5,2226,0.10531116352201257,0.23304783016942177,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.2952426322418136,794,0.6433063791554358,0.0,-0.12098141391020056
B0_one,版本,V6,1478,0.08312974740640505,0.18651421353270062,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.23950441845354126,513,0.6529093369418133,0.0,-0.1170919946686031
B0_one,版本,V7,546,0.060513400488400496,0.16604433335864519,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.24117019464720196,137,0.7490842490842491,0.0,-0.07385272687273536
B0_one,工况,frontal_frb100,4209,0.1744701473033975,0.31596946972404694,0.1744701473033975,0.31596946972404694,0.20324921817569416,0.2634328633591986,0.37032014624306603,1983,0.5288667141838916,0.0,-0.19943072286016617
B0_one,工况,frontal_odb40,2674,0.19824869109947643,0.33847356374818244,0.19824869109947643,0.33847356374818244,0.2111026248497261,0.27433885950360604,0.34423181818181814,1540,0.42408376963350786,0.0,-0.23377914583673265
B0_one,工况,side_mdb,3122,0.05470339525944907,0.1924864170270472,0.05470339525944907,0.1924864170270472,0.09524857359541782,0.18454961199362843,0.3944203233256351,433,0.8613068545803971,0.0,-0.043006349066140315
B0_one,工况,child_static,57,0.08035672514619882,0.12855977591924098,0.08035672514619882,0.12855977591924098,0.09262357648507231,0.10035144596957092,0.1832133333333333,25,0.5614035087719298,0.0,-0.28109540103909936
B0_one,工况,frontal_mpdb50,589,0.0597720713073005,0.13815509518951924,0.0597720713073005,0.13815509518951924,0.08636541892822869,0.12455572976969027,0.19778511235955054,178,0.6977928692699491,0.0,-0.10918297733050797
B0_one,工况,side_pole,231,0.036043290043290044,0.14473833495677849,0.036043290043290044,0.14473833495677849,0.06411080189651615,0.1401786961307455,0.2973571428571429,28,0.8787878787878788,0.0,-0.032527330841914726
B0_one,工况,whiplash,131,0.2157007633587786,0.27496195184394523,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.22249448818897632,127,0.030534351145038167,-0.720444752561908,-0.6124857844538778
B0_one,工况,cpd,13,0.25,0.4853626716970755,0.25,0.4853626716970755,0.34615384615384615,0.41602514716892186,0.8125,4,0.6923076923076923,0.0,-0.16666666666666652
B0_one,工况,ecall,26,0.0,0.0,0.0,0.0,0.0,0.0,,0,1.0,,
B0_one,工况,curtain_hold,13,0.15384615384615385,0.3922322702763681,0.15384615384615385,0.3922322702763681,0.26035502958579876,0.36080121229410994,1.0,2,0.8461538461538461,0.0,-0.08711461300921819
B0_one,可观测性,structure_driven,10825,0.13660763048498847,0.28158450829753395,0.13660763048498847,0.28158450829753395,0.17977432551755035,0.24622792409968622,0.35530456511292646,4162,0.6155196304849885,0.0,-0.1435929102157134
B0_one,可观测性,config_gated,109,0.09018654434250763,0.23470798001293716,0.09018654434250763,0.23470798001293716,0.1305089358359285,0.21668923162287096,0.31710752688172045,31,0.7155963302752294,0.0,-0.08315479387285052
B0_one,可观测性,component_driven,131,0.2157007633587786,0.27496195184394523,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.22249448818897632,127,0.030534351145038167,-0.720444752561908,-0.6124857844538778
B1_item,总体,B1_item,11065,0.11809160602926877,0.20118188166315712,0.13708673595420998,0.28108324049686084,0.1789987723095129,0.24538747912971604,0.20979801418410227,4320,0.6095797559873475,0.1385628579798267,0.180146100458496
B1_item,版本,V4,2108,0.11295659915802325,0.18989171055381818,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.19313689542019813,854,0.594876660341556,0.22905131986824612,0.2413298745677821
B1_item,版本,V3,2475,0.12415395007193183,0.20512651953916725,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.22617495804919044,1054,0.5741414141414142,0.34987479836404756,0.30926092204400946
B1_item,版本,V2,1088,0.10644148362897987,0.18158972050781552,0.12091911764705883,0.24472198924914537,0.15783463992214533,0.21276141334724108,0.19217946542635372,430,0.6047794117647058,0.1197299012744748,0.14651008540045385
B1_item,版本,V1,1144,0.15475697750568007,0.2745955537336187,0.18660008741258743,0.34460324017355365,0.22569924492028945,0.28970985574489283,0.2791118339831745,538,0.5297202797202797,0.1706489549305502,0.0521704792279597
B1_item,版本,V5,2226,0.12480552613479946,0.20188369307590046,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.2044256040710252,794,0.6433063791554358,-0.18511202384267733,0.028920940627879088
B1_item,版本,V6,1478,0.09655633384139854,0.16466898465970872,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.16392215284545303,513,0.6529093369418133,-0.16151362002044278,0.013745917539327301
B1_item,版本,V7,546,0.08775165606636648,0.1643856429824092,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.17368449594331734,137,0.7490842490842491,-0.4501194009612324,-0.06312553644395202
B1_item,工况,frontal_frb100,4209,0.13138825413693578,0.21214813079836048,0.1744701473033975,0.31596946972404694,0.20324921817569416,0.2634328633591986,0.20773826822301644,1983,0.5288667141838916,0.24692988360664248,0.19467856784029958
B1_item,工况,frontal_odb40,2674,0.1526060264534897,0.22836457207593755,0.19824869109947643,0.33847356374818244,0.2111026248497261,0.27433885950360604,0.19678950300844267,1540,0.42408376963350786,0.23022933666222467,0.1675821191021033
B1_item,工况,side_mdb,3122,0.08677521181603683,0.1778667820828581,0.05470339525944907,0.1924864170270472,0.09524857359541782,0.18454961199362843,0.32529599030406875,433,0.8613068545803971,-0.5862856666295846,0.03621156305113793
B1_item,工况,child_static,57,0.09533721792528614,0.10366199096835571,0.08035672514619882,0.12855977591924098,0.09262357648507231,0.10035144596957092,0.11281371015115699,25,0.5614035087719298,-0.18642487920995077,-0.03298950968567649
B1_item,工况,frontal_mpdb50,589,0.05513121766387537,0.10495071843186574,0.0597720713073005,0.13815509518951924,0.08636541892822869,0.12455572976969027,0.12010049283278139,178,0.6977928692699491,0.07764250998707323,0.1573995140494554
B1_item,工况,side_pole,231,0.05399903567535146,0.13603321201395874,0.036043290043290044,0.14473833495677849,0.06411080189651615,0.1401786961307455,0.25060719573318263,28,0.8787878787878788,-0.49817165998152624,0.029572854015707417
B1_item,工况,whiplash,131,0.1161874677064051,0.1579410148121629,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.11393162288964287,127,0.030534351145038167,0.07328042786546085,0.07377133651068046
B1_item,工况,cpd,13,0.42649572649572637,0.5291701718258857,0.25,0.4853626716970755,0.34615384615384615,0.41602514716892186,0.75,4,0.6923076923076923,-0.7059829059829055,-0.27196679197621365
B1_item,工况,ecall,26,0.0,0.0,0.0,0.0,0.0,0.0,,0,1.0,,
B1_item,工况,curtain_hold,13,0.2726495726495726,0.3833302365785976,0.15384615384615385,0.3922322702763681,0.26035502958579876,0.36080121229410994,0.8944444444444444,2,0.8461538461538461,-0.7722222222222219,-0.06244165351119424
B1_item,可观测性,structure_driven,10825,0.11796212028948636,0.20124682711368022,0.13660763048498847,0.28158450829753395,0.17977432551755035,0.24622792409968622,0.21245768225028094,4162,0.6155196304849885,0.13648952206627307,0.1826807302643515
B1_item,可观测性,config_gated,109,0.133239544134222,0.23778472861107747,0.09018654434250763,0.23470798001293716,0.1305089358359285,0.21668923162287096,0.24545908524734886,31,0.7155963302752294,-0.4773771975141774,-0.09735369326022347
B1_item,可观测性,component_driven,131,0.1161874677064051,0.1579410148121629,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.11393162288964287,127,0.030534351145038167,0.07328042786546085,0.07377133651068046
B2_gbdt,总体,B2_gbdt,11065,0.08854445998627922,0.15950222424774058,0.13708673595420998,0.28108324049686084,0.1789987723095129,0.24538747912971604,0.1649671962189126,4320,0.6095797559873475,0.35409899892973573,0.34999852146724664
B2_gbdt,版本,V4,2108,0.08463440050493697,0.15336145031303353,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.16211780946268306,854,0.594876660341556,0.4223553130194535,0.3872784103838991
B2_gbdt,版本,V3,2475,0.08904014095594373,0.15594782882539915,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.16681045935142222,1054,0.5741414141414142,0.5337462919291891,0.47486429480647074
B2_gbdt,版本,V2,1088,0.08169394000079254,0.14166171621224485,0.12091911764705883,0.24472198924914537,0.15783463992214533,0.21276141334724108,0.14077914465619087,430,0.6047794117647058,0.32439186134948106,0.33417571361474596
B2_gbdt,版本,V1,1144,0.12040673535444378,0.20047914640213618,0.18660008741258743,0.34460324017355365,0.22569924492028945,0.28970985574489283,0.19136850452816104,538,0.5297202797202797,0.3547337676846043,0.30800025464556413
B2_gbdt,版本,V5,2226,0.08656695871966741,0.16168855580158434,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.16978577582775273,794,0.6433063791554358,0.1779887732265647,0.22226323341524856
B2_gbdt,版本,V6,1478,0.08357868434679643,0.1508151847319866,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.15198236718206148,513,0.6529093369418133,-0.0054004367196811565,0.09672066086785935
B2_gbdt,版本,V7,546,0.06978961003099077,0.1489128701904246,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.16148398699435068,137,0.7490842490842491,-0.15329182408726783,0.03694098747087837
B2_gbdt,工况,frontal_frb100,4209,0.09928376210121105,0.16725369267986692,0.1744701473033975,0.31596946972404694,0.20324921817569416,0.2634328633591986,0.162849145484077,1983,0.5288667141838916,0.4309412605208611,0.36509936327947234
B2_gbdt,工况,frontal_odb40,2674,0.1144594225207011,0.18087126995141534,0.19824869109947643,0.33847356374818244,0.2111026248497261,0.27433885950360604,0.15513862499286868,1540,0.42408376963350786,0.4226472725448255,0.34070123977810773
B2_gbdt,工况,side_mdb,3122,0.05663950799366155,0.13299483010157387,0.05470339525944907,0.1924864170270472,0.09524857359541782,0.18454961199362843,0.22681016156521294,433,0.8613068545803971,-0.035392917112910816,0.279354593787141
B2_gbdt,工况,child_static,57,0.10291480201112825,0.11689182856738503,0.08035672514619882,0.12855977591924098,0.09262357648507231,0.10035144596957092,0.11562056000632459,25,0.5614035087719298,-0.2807241935741891,-0.16482455671669705
B2_gbdt,工况,frontal_mpdb50,589,0.05729672021859415,0.105421847135432,0.0597720713073005,0.13815509518951924,0.08636541892822869,0.12455572976969027,0.12425546525959041,178,0.6977928692699491,0.0414131723155462,0.1536170408991845
B2_gbdt,工况,side_pole,231,0.059146738726918516,0.14099611207183804,0.036043290043290044,0.14473833495677849,0.06411080189651615,0.1401786961307455,0.2455275763128588,28,0.8787878787878788,-0.6409916701799396,-0.005831242290412986
B2_gbdt,工况,whiplash,131,0.12829568671762454,0.17231723653106304,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.12710504304273793,127,0.030534351145038167,-0.02329559503007883,-0.010536521359924889
B2_gbdt,工况,cpd,13,0.3729266079865428,0.5024410372507895,0.25,0.4853626716970755,0.34615384615384615,0.41602514716892186,0.7146749003491355,4,0.6923076923076923,-0.49170643194617125,-0.20771794847002245
B2_gbdt,工况,ecall,26,0.01655829069882397,0.02567303401437134,0.0,0.0,0.0,0.0,,0,1.0,,
B2_gbdt,工况,curtain_hold,13,0.2772269458698805,0.38804552936431014,0.15384615384615385,0.3922322702763681,0.26035502958579876,0.36080121229410994,0.8611753515365559,2,0.8461538461538461,-0.8019751481542232,-0.07551060290781897
B2_gbdt,可观测性,structure_driven,10825,0.08759252280048345,0.15839235474676477,0.13660763048498847,0.28158450829753395,0.17977432551755035,0.24622792409968622,0.1655560746983774,4162,0.6155196304849885,0.3588021218909232,0.3567246471905474
B2_gbdt,可观测性,config_gated,109,0.1353087658067636,0.23530791601542272,0.09018654434250763,0.23470798001293716,0.1305089358359285,0.21668923162287096,0.2410182033750893,31,0.7155963302752294,-0.5003209934831543,-0.0859234409255556
B2_gbdt,可观测性,component_driven,131,0.12829568671762454,0.17231723653106304,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.12710504304273793,127,0.030534351145038167,-0.02329559503007883,-0.010536521359924889
